artist,revenue
The Weeknd,52032.639312032974
Dua Lipa,39827.02400516582
Harry Styles,33635.9083939165
Lewis Capaldi,31878.4294942188
Billie Eilish,26537.254172652993
Roddy Ricch,22136.4507646606
SAINt JHN,21344.17764150389
Post Malone,20267.825134673898
Tones And I,17392.3188815946
Future & Drake,17239.9789354454
Lil Baby,16972.04439513781
Morgan Wallen,15447.79671652131
Jawsh 685 & Jason Derulo,15381.650529203
Maroon 5,14394.0839237126
Justin Bieber & Quavo,14241.7217679933
DaBaby & Roddy Ricch,13869.6471904603
Trevor Daniel,12594.036311331201
Pop Smoke,12191.456500458571
Arizona Zervas,11961.8175113927
Cardi B & Megan Thee Stallion,11525.3556939289
Lil Mosey,11390.2047711321
"Jack Harlow & DaBaby, Tory Lanez & Lil Wayne",11119.341390298401
Chris Brown & Young Thug,10787.7953577305
Maren Morris,10716.5089056259
Topic & A7s,10553.580289650601
Drake,10497.9530798257
Pop Smoke & Lil Baby & DaBaby,10293.3762380553
DJ Khaled & Drake,10278.3191514541
BTS,10196.8561968733
Ariana Grande,9819.459861271811
Ava Max,9371.06578635989
Megan Thee Stallion,9190.3762575531
Lady Gaga & Ariana Grande,9112.796997686679
24kGoldn & iann dior,9000.31701851126
Drake & Lil Durk,8949.27193196866
BLACKBEAR,8914.26624359905
Doja Cat,8679.61571145072
Doja Cat & Nicki Minaj,8238.553488202471
Juice WRLD,8218.820151241121
Dababy & Roddy Ricch,7921.425036843209
Camila Cabello & DaBaby,7834.822958583779
Gabby Barrett & Charlie Puth,7654.4947576907
Roddy Ricch & Mustard,7556.51970768698
Eminem & Juice WRLD,7478.405557495741
Mustard & Roddy Ricch,7325.783386191791
Benee & Gus Dapperton,7252.55873824136
Justin Bieber & Chance The Rapper,7195.520103690341
Juice WRLD & Marshmello,7085.000096781321
Dan & Shay & Justin Bieber,7054.1983767562
Surfaces,7035.64017108534
Halsey,7029.256936724721
Pop Smoke & Lil Tjay,6935.063723765079
Luke Bryan,6769.28107591218
Kane Brown,6698.10652643424
Gabby Barrett,6625.925727898039
Tate McRae,6503.32024149203
Justin Bieber,6493.41733899102
Miley Cyrus,6467.25707119829
Mariah Carey,6463.9024487056795
Sam Hunt,6418.91967054045
Selena Gomez,6412.159266371899
Regard,6232.92302563495
DaBaby,6169.6232754261
Lizzo,6143.30496527629
Powfu & beabadoobee,5962.19165849194
StaySolidRocky,5955.59388345645
Megan Thee Stallion & Beyonce,5949.76110015046
Shawn Mendes & Camila Cabello,5706.227058486271
Ariana Grande & Justin Bieber,5685.724340156321
Karol G & Nicki Minaj,5663.69886414718
Internet Money & Gunna & Don Toliver & NAV,5576.315052021229
Pop Smoke & 50 Cent & Roddy Ricch,5540.83254445379
JP Saxe & Julia Michaels,5451.49142108593
Blake Shelton Duet With Gwen Stefani,5270.07735734015
Travi$ Scott,5211.85124548582
The Black Eyed Peas & J Balvin,5201.558564596729
Lady GaGa,5172.66270033191
Powfu & Beabadoobee,5140.4623111619
Bad Bunny,5031.687455795211
Lil Uzi Vert,5025.10178606814
Chris Brown & Drake,4947.61002960351
Lee Brice,4927.59753357909
The Scotts,4880.174338379121
Jonas Brothers,4872.4955594248995
Kane Brown With Swae Lee & Khalid,4838.887559914529
Nea,4816.05861765143
AJR,4791.76632120512
Jason Aldean,4758.83533496554
Brenda Lee,4598.84631390062
surf mesa & Emilee,4534.834887943211
Carly Pearce & Lee Brice,4446.60814107394
Rod Wave,4415.93958312654
Lil Baby & 42 Dugg,4414.509422176699
Justin Bieber & Benny Blanco,4204.93765226646
Maddie & Tae,4204.21442045628
Marshmello & Halsey,4182.423134932271
Surf Mesa & Emilee,4117.441160809461
Machine Gun Kelly & BLACKBEAR,4107.48484235541
Jack Harlow,4076.1030079862
Wham!,4020.3840590468394
24kGoldn & Iann Dior,3949.8755792744605
Moneybagg Yo,3949.50296320883
Jhene Aiko,3909.17167632036
Ed Sheeran & Justin Bieber,3878.8703438841603
Bobby Helms,3875.54598214745
Saweetie,3848.4980353518604
Apache 207,3836.3441510637394
Jason Derulo,3823.2093255534705
Rod Wave & ATR Son Son,3772.26251632137
HARDY & Lauren Alaina & Devin Dawson,3760.14935244491
H.E.R. & YG,3712.44415532812
Sam Smith,3664.2770272181297
Young T & Bugsey & Headie One,3644.26618927932
Taylor Swift,3628.27687055454
Luke Combs & Eric Church,3566.4878346934206
Luke Combs,3550.5310254007795
SHAED,3492.2839304412605
Ingrid Andress,3471.43925479769
Shawn Mendes,3452.56409180123
JACKBOYS & Young Thug,3446.9135760069103
Andy Williams,3429.01479523409
Master KG & Burna Boy & Nomcebo Zikode,3410.3490293864197
Russ & BIA,3409.11437440102
Robin Schulz & Alida,3404.65845972551
Dan & Shay,3384.38328538008
6ix9ine,3383.31024421412
Miranda Lambert,3377.31915766545
Blake Shelton & Gwen Stefani,3365.0503182210805
NLE Choppa & Roddy Ricch,3297.07347230723
Joel Corry & MNEK,3288.25294475715
Conan Gray,3283.18922730888
Doja Cat & Gucci Mane,3206.28410371382
Jhene Aiko & H.E.R.,3192.6729055213
Maluma & The Weeknd,3180.6903668833397
Lil Nas X & Billy Ray Cyrus,3099.51368248919
Dua Lipa & DaBaby,3092.1025152847496
PARTYNEXTDOOR & Rihanna,3087.9476458578997
Parker McCollum,3087.1813528514504
Don Toliver,3068.86479815702
"Thomas Rhett & Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",3048.36423388114
Jose Feliciano,3047.7010580524498
Tones & I,3031.05699390109
Thomas Rhett & Jon Pardi,3010.32241780977
Khalid & Disclosure,3000.74738886373
Jordan Davis,2993.9360934108504
Meduza & Becky Hill & Goodboys,2966.96458336293
Florida Georgia Line,2927.8481408276098
Polo G,2877.61743331583
Drake & Giveon,2860.93884321039
Chris Stapleton,2835.11843695729
Brett Young,2809.7306223686796
Ed Sheeran & Camila Cabello & Cardi B,2780.0514593213597
S1mba & DTG,2744.1939431541896
Jake Owen,2734.9040306529396
Doja Cat & Tyga,2726.32288461218
Keith Urban,2667.4267197641
Russell Dickerson,2666.63291135288
Internet Money & Gunna & Don Toliver & Nav,2664.27694068896
Old Dominion,2656.03819719298
"Diplo, Thomas Wesley & Morgan Wallen",2652.86703917323
Ritt Momney,2646.12816382905
Burl Ives,2642.11285232579
Black Eyed Peas & Ozuna + J. Rey Soul,2619.4815206511103
Regard & Raye,2601.53901546633
Bad Bunny & Jhay Cortez,2582.4446470284
YNW Melly,2562.33134686776
CJ,2560.6190335316
Sam Fischer,2540.65879701261
Ufo361,2534.52248853937
Demi Lovato,2517.4353318726103
Travis Denning,2517.06897742369
Jameson Rodgers,2496.42385327249
Kelly Clarkson,2475.97453017732
Gunna & Young Thug,2434.17932207382
