artist,likes,dislikes,numberOfSubscribers,viewCount
Ed Sheeran,39000000,1840000,93200000,7870380452
Maroon 5,30000000,1290000,66000000,6318163911
Taylor Swift,21200000,1638000,164800000,4549446267
Justin Bieber,26200000,11543000,181500000,4079494508
OneRepublic,12000000,411000,9060000,3174427742
Marshmello,31900000,1072000,153000000,2973749183
Major Lazer Official,13000000,565000,13900000,2961408831
Dua Lipa,13000000,605000,16600000,2333303405
Christina Perri,10000000,265000,5720000,1758319890
Post Malone,11400000,378000,41600000,1575998250
Lady Gaga,5700000,440000,19100000,1327429095
Katy Perry,5000000,243000,39600000,1285907473
Cardi B,13900000,1735000,31800000,1285329794
iamOTHER,4700000,250000,1800000,1091991394
Ariana Grande,24100000,814000,185600000,1088740342
Iggy Azalea,4800000,336000,7750000,1017186882
discovery plus Norge,7500000,772000,2010000,986156433
Bebe Rexha,4200000,244000,8250000,965261885
Scorpions,3300000,130000,2710000,821584565
Red Hot Chili Peppers,3100000,121000,5840000,783784262
Bon Jovi,3100000,114000,5690000,755359500
Donald Glover,10000000,746000,5560000,751692795
Pharrell Williams,4500000,202000,3070000,743521135
Michael Jackson,4700000,260000,20100000,722017521
Disturbed,4000000,230000,3060000,673440188
Khalid,2700000,103000,8170000,572511719
Lil Nas X,8700000,303000,22800000,463208215
The Weeknd,7100000,172000,44800000,414766020
Ava Max,5030000,111000,12660000,396482476
Soothing Relaxation,2490000,179000,19980000,369322669
Big Hit Labels,11000000,306000,50300000,316273109
Lil Dicky,9900000,316000,7430000,294585040
Roddy Ricch,5400000,129000,5200000,291148274
Drake,2800000,92000,23700000,224054798
MIKA,1700000,48000,1740000,200081547
Queen Naija,1700000,65000,4840000,184113668
Blake Shelton,1216000,50000,5300000,183543222
Wintergatan,3400000,62000,2150000,168976606
DJ Khaled,3100000,149000,10600000,156253288
Jason Derulo,2201000,94000,29600000,152850866
Juice WRLD,1800000,33000,7750000,120898672
Billie Eilish,6500000,161000,75800000,119184378
DaBaby,2100000,59000,7170000,112524216
Tekno Miles,213000,14000,1650000,78760844
Travis Scott,646000,10000,13500000,68680812
LARRAY,2600000,115000,8140000,65813934
Flipp Dinero,410000,10000,414000,43313854
Official Saweetie,659000,31000,1960000,37216074
Meditation Relax Music,211000,15000,2320000,34131909
Lyrical Lemonade,471000,19000,16600000,30068399
Jaiden Animations,992000,20000,9520000,24385149
Sia,507000,18000,18700000,23596819
Best Cover Collection,164000,11000,358000,22438221
Pooh Shiesty,281000,12000,281000,20265829
Lil Durk,323000,9900,2850000,20027939
Rodgers &amp; Hammerstein,130000,5800,163000,17589283
Magic Music,142000,4600,3550000,12109051
NOW UNITED,531000,10000,6800000,9745133
Baby Fendi,123000,4900,241000,9442913
Techno Gamerz,1500000,16000,12700000,7534492
Cafe Music BGM channel,63000,1600,2780000,7507303
Fredo Bang,146000,7200,654000,6322175
Bisconni Music,2600,65,24200,5131543
TODAY,87986,26005,8250000,4423831
KD Da Kid &amp; Da Gang,12000,2100,346000,4079272
CNBC Television,48000,17000,2540000,3959748
ON MUSIC,10000,379,4060,3846308
Sony Music India,234000,5400,41400000,3508797
PBS NewsHour,32200,8650,9680000,2205057
Why Don't We,81000,601,3660000,1853747
Lazada Philippines,14000,58,235000,1621521
Sidhu Moose Wala,171000,3200,6810000,1408663
Zee Music Company,9300,230,67700000,1394895
GRM Daily,51000,964,3590000,1145196
LIL HUDDY,157000,7600,2010000,1016923
Hour Loop Everything,26000,729,0,920889
SpreadTheSound,3600,53,958,618529
RosyClozy,83000,347,1050000,579871
News 19 WLTX,8500,2194,204000,518522
YUNGBLUD,97000,369,2010000,509489
Harmonize,22000,1500,2240000,490981
IGN,19000,425,14700000,481124
Super D TV,733,199,0,437539
Music &amp; Memory,2100,282,0,436494
RoomieOfficial,32000,202,6880000,398497
CNN,5600,756,12000000,284495
Adam Neely,20000,251,1210000,236755
WORLDSTARHIPHOP,10700,353,74100000,212289
Hyper - Roblox,5500,93,330000,161168
BANDMAID,21000,78,358000,155086
8-BitRyan,19000,118,2620000,143043
7even EDM,1900,52,0,114575
Inside Edition,3300,71,8540000,101270
Fearless Records,6800,86,2070000,92915
Lil Skies,20000,100,2620000,78769
SEOUL MUSIC / 서울뮤직,13000,17,250000,68096
DappyTKeys Piano Worship,963,21,640000,48525
Happy Asmara Music,4400,41,951000,47978
CBS News,364,21,3440000,43129
Piano Relaxing,328,10,0,39217
Sweet Waves,324,11,0,37477
Universal Comedy,628,19,280000,37345
Latest Christian Gospel,384,14,0,35307
Olympic,621,25,5290000,28198
HALIDONMUSIC,1000,5,2440000,23947
Frontiers Music srl,2300,12,325000,22275
DJ Spinall,1300,2,163000,14828
YN Jay,903,9,130000,12153
Hollyscoop,608,24,2920000,11006
Gospel Music,105,6,0,8134
FOX 10 Phoenix,85,99,10500,6943
Season of Mist,589,13,268000,6765
Relax Cafe Music,141,5,567000,5691
CBS Los Angeles,53,7,624000,5473
7even Cloud,245,4,143000,5407
Time Music,55,5,548000,5072
SY MUSIC ENTERTAINMENT,892,10,310000,3787
Habana. Music,57,2,0,3508
Gloriae Templum,180,1,54200,2562
Music Collection 2021,23,0,147000,2034
KDMR Music,47,0,15200,304
16 WAPT News Jackson,2,0,23700,60
"WKBW TV | Buffalo, NY",0,0,51000,11
